category	ID	term	count	gene	logFC	adj_pval	zscore
KEGG	KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	123	ENSRNOG00000009156/ENSRNOG00000000248/ENSRNOG00000010007/ENSRNOG00000020438/ENSRNOG00000006380/ENSRNOG00000002874/ENSRNOG00000000493/ENSRNOG00000011932/ENSRNOG00000007992/ENSRNOG00000018849/ENSRNOG00000018396/ENSRNOG00000050647/ENSRNOG00000010316/ENSRNOG00000003844/ENSRNOG00000013533/ENSRNOG00000050323/ENSRNOG00000025629/ENSRNOG00000008607/ENSRNOG00000007921/ENSRNOG00000007315/ENSRNOG00000015332/ENSRNOG00000001783/ENSRNOG00000001163/ENSRNOG00000030374/ENSRNOG00000036839/ENSRNOG00000005513/ENSRNOG00000027360/ENSRNOG00000045860/ENSRNOG00000009451/ENSRNOG00000021637/ENSRNOG00000023605/ENSRNOG00000033790/ENSRNOG00000007629/ENSRNOG00000004864/ENSRNOG00000031127/ENSRNOG00000051498/ENSRNOG00000036687/ENSRNOG00000000520/ENSRNOG00000020946/ENSRNOG00000052539/ENSRNOG00000010021/ENSRNOG00000070946/ENSRNOG00000000581/ENSRNOG00000005556/ENSRNOG00000000841/ENSRNOG00000001746/ENSRNOG00000018783/ENSRNOG00000030157/ENSRNOG00000010930	1.782295564	0.002658839	0
KEGG	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	51	ENSRNOG00000024382/ENSRNOG00000046452/ENSRNOG00000000454/ENSRNOG00000008766/ENSRNOG00000024115/ENSRNOG00000003220/ENSRNOG00000050410/ENSRNOG00000018517/ENSRNOG00000012807/ENSRNOG00000066773/ENSRNOG00000011796/ENSRNOG00000010306/ENSRNOG00000012749/ENSRNOG00000070397/ENSRNOG00000033215/ENSRNOG00000066573/ENSRNOG00000010283/ENSRNOG00000051235/ENSRNOG00000061379/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491/ENSRNOG00000012804/ENSRNOG00000021199	-2.023056541	0.002811433	0
KEGG	KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	89	ENSRNOG00000021150/ENSRNOG00000002229/ENSRNOG00000016611/ENSRNOG00000016452/ENSRNOG00000005781/ENSRNOG00000063590/ENSRNOG00000004060/ENSRNOG00000013166/ENSRNOG00000059479/ENSRNOG00000005413/ENSRNOG00000010176/ENSRNOG00000011589/ENSRNOG00000052510/ENSRNOG00000008168/ENSRNOG00000003807/ENSRNOG00000054172/ENSRNOG00000016770/ENSRNOG00000002227/ENSRNOG00000016421/ENSRNOG00000048782/ENSRNOG00000018712/ENSRNOG00000021962/ENSRNOG00000052080/ENSRNOG00000001452/ENSRNOG00000016119/ENSRNOG00000003066/ENSRNOG00000069521/ENSRNOG00000003845/ENSRNOG00000014385	-1.86500632	0.003244487	0
KEGG	KEGG_PROTEASOME	KEGG_PROTEASOME	41	ENSRNOG00000017730/ENSRNOG00000011732/ENSRNOG00000007114/ENSRNOG00000056853/ENSRNOG00000014109/ENSRNOG00000049920/ENSRNOG00000011745/ENSRNOG00000010038/ENSRNOG00000012026/ENSRNOG00000037580/ENSRNOG00000003951/ENSRNOG00000001488/ENSRNOG00000028103/ENSRNOG00000021042/ENSRNOG00000013386/ENSRNOG00000000459/ENSRNOG00000019246/ENSRNOG00000019551/ENSRNOG00000001719/ENSRNOG00000019041/ENSRNOG00000019868/ENSRNOG00000020979/ENSRNOG00000049229/ENSRNOG00000000456	-1.969115162	0.003936348	0
KEGG	KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	30	ENSRNOG00000027433/ENSRNOG00000019189/ENSRNOG00000000967/ENSRNOG00000043094/ENSRNOG00000014490/ENSRNOG00000024629/ENSRNOG00000064647/ENSRNOG00000037815/ENSRNOG00000007895/ENSRNOG00000001177/ENSRNOG00000000007/ENSRNOG00000018200/ENSRNOG00000011497/ENSRNOG00000031211/ENSRNOG00000002342/ENSRNOG00000004027/ENSRNOG00000014645/ENSRNOG00000002636/ENSRNOG00000010697	-1.957074992	0.005151048	0
KEGG	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	28	ENSRNOG00000013949/ENSRNOG00000005130/ENSRNOG00000005061/ENSRNOG00000006364/ENSRNOG00000019955/ENSRNOG00000008103/ENSRNOG00000007895/ENSRNOG00000016924/ENSRNOG00000001440/ENSRNOG00000005587/ENSRNOG00000005686/ENSRNOG00000022980/ENSRNOG00000024128/ENSRNOG00000003163/ENSRNOG00000023520/ENSRNOG00000019372	-1.998798848	0.006792852	0
KEGG	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	54	ENSRNOG00000012807/ENSRNOG00000017223/ENSRNOG00000012613/ENSRNOG00000057855/ENSRNOG00000030715/ENSRNOG00000048723/ENSRNOG00000011796/ENSRNOG00000010516/ENSRNOG00000032669/ENSRNOG00000011800/ENSRNOG00000047300/ENSRNOG00000012749/ENSRNOG00000070397/ENSRNOG00000066573/ENSRNOG00000019689/ENSRNOG00000051235/ENSRNOG00000015957/ENSRNOG00000061379/ENSRNOG00000033564/ENSRNOG00000001865/ENSRNOG00000012804	-1.875507317	0.006792852	0
KEGG	KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	50	ENSRNOG00000005781/ENSRNOG00000063590/ENSRNOG00000033791/ENSRNOG00000013166/ENSRNOG00000052510/ENSRNOG00000008168/ENSRNOG00000003807/ENSRNOG00000054172/ENSRNOG00000048782/ENSRNOG00000021962/ENSRNOG00000007261/ENSRNOG00000001452/ENSRNOG00000016119/ENSRNOG00000003066/ENSRNOG00000069521/ENSRNOG00000003845/ENSRNOG00000014385	-1.85191724	0.006792852	0
KEGG	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	102	ENSRNOG00000020005/ENSRNOG00000057880/ENSRNOG00000051440/ENSRNOG00000018346/ENSRNOG00000017767/ENSRNOG00000021150/ENSRNOG00000002215/ENSRNOG00000002229/ENSRNOG00000054695/ENSRNOG00000054140/ENSRNOG00000015603/ENSRNOG00000004060/ENSRNOG00000060087/ENSRNOG00000059479/ENSRNOG00000001804/ENSRNOG00000005446/ENSRNOG00000010176/ENSRNOG00000029876/ENSRNOG00000002657/ENSRNOG00000018708/ENSRNOG00000019926/ENSRNOG00000012302/ENSRNOG00000016770/ENSRNOG00000001302/ENSRNOG00000029401/ENSRNOG00000052795/ENSRNOG00000010094/ENSRNOG00000016647/ENSRNOG00000020246/ENSRNOG00000025121/ENSRNOG00000016346/ENSRNOG00000017546/ENSRNOG00000007104/ENSRNOG00000005465/ENSRNOG00000021256	-1.742932392	0.006792852	0
KEGG	KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	28	ENSRNOG00000000454/ENSRNOG00000000838/ENSRNOG00000005003/ENSRNOG00000000562/ENSRNOG00000000007/ENSRNOG00000009468/ENSRNOG00000018200/ENSRNOG00000004649/ENSRNOG00000066773/ENSRNOG00000019587/ENSRNOG00000033215/ENSRNOG00000010283/ENSRNOG00000026762/ENSRNOG00000032708/ENSRNOG00000049491	-1.982433161	0.007398239	0
